field_name,description
Code,"Standard code value identifying a type or status, often from an Open Banking approved code list."
Issuer,The name or identifier of the organisation issuing the financial instrument or instruction.
Number,Identification of the type specified for the referred document line.
RelatedDate,Date associated with the referred document line.
LineDetails,Detailed descriptive lines of narrative for the payment reference or remittance information.
Structured,
Unstructured,"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form."
ReferredDocumentInformation,"References to related documents including document type, number, and issuer."
ReferredDocumentAmount,Provides details on the amounts of the referred document.
CreditorReferenceInformation,Reference information provided by the creditor to allow the identification of the underlying documents.
CreditorReferenceInformation.Code,
CreditorReferenceInformation.Issuer,Entity that assigns the identification.
CreditorReferenceInformation.Reference,"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction."
Invoicer,
Invoicee,
TaxRemittance,Provides remittance information about a payment made for tax-related purposes.
AdditionalRemittanceInformation,"Additional information, in free text form, to complement the structured remittance information."
Name,Name by which a party is known and which is usually used to identify that party.
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
LEI,"Legal Entity Identifier, a 20-character code that uniquely identifies legally distinct entities."
SchemeName,"Name of the identification scheme in use, such as 'UK.OBIE.SortCodeAccountNumber'."
PostalAddress,The full structured postal address of the account holder or related party.
Type,
CountPerPeriod,Number of instructions to be created and processed during the specified period. Specifies a frequency in terms of a count per period within a specified frequency type. Note: should not be used alongside `PointInTime`
PointInTime,
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
Type,Type of the proxy identification.
Self,The URI of the resource.
First,Link to the first page of the results.
Prev,Link to the previous page of the results.
Next,Link to the next page of the results.
Last,Link to the last page of the results.
TotalPages,The total number of pages.
FirstAvailableDateTime,The first available date and time.
LastAvailableDateTime,The last available date and time.
AccountId,A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.
Status,Specifies the status of resource in code form. For a list of values see `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
StatusUpdateDateTime,"Date and time at which the resource status was updated. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Currency,
AccountCategory,
AccountTypeCode,
Description,
Nickname,
OpeningDate,
MaturityDate,
SwitchStatus,
Account,Provides the details to identify an account.
StatementFrequencyAndFormat,
Servicer,
Amount,Amount of money in the cash transaction entry.
SubType,
ProductDetails,
ProductDetails.Segment,"Market segmentation is a marketing term referring to the aggregating of prospective buyers into groups, or segments, that have common needs and respond similarly to a marketing action. Market segmentation enables companies to target different categories of consumers who perceive the full value of certain products and services differently from one another.
Read more: Market Segmentation http://www.investopedia.com/terms/m/marketsegmentation.asp#ixzz4gfEEalTd 
With respect to BCA products, they are segmented in relation to different markets that they wish to focus on. "
ProductDetails.FeeFreeLength,The length/duration of the fee free period
ProductDetails.FeeFreeLengthPeriod,"The unit of period (days, weeks, months etc.) of the promotional length"
ProductDetails.Notes,Optional additional notes to supplement the Core product details
CreditInterest,Details about the interest that may be payable to the BCA account holders
CreditInterest.TierBandSet,The group of tiers or bands for which credit interest can be applied.
Overdraft,Borrowing details
Overdraft.Notes,Associated Notes about the overdraft rates
Overdraft.OverdraftTierBandSet,Tier band set details
OtherFeesCharges,Contains details of fees and charges which are not associated with either Overdraft or features/benefits
Code,"Standard code value identifying a type or status, often from an Open Banking approved code list."
SubCode,Specifies the sub-product family within a specific family.
BeneficiaryId,
BeneficiaryType,
Reference,"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.
Usage: If available, this reference is sent by the creditor to the debtor.
Usage: This reference should be included in structured remittance information, case unstructured remittance information is not used."
SupplementaryData,
CreditorAgent,Financial institution servicing an account for the creditor.
CreditorAccount,Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction.
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
Name,
SecondaryIdentification,
Proxy,
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
SourceCurrency,Currency from which an amount is to be converted in a currency conversion.
TargetCurrency,Currency into which an amount is to be converted in a currency conversion.
UnitCurrency,"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP."
ExchangeRate,"Factor used to convert an amount from one currency into another. This reflects the price at which one currency was bought with another currency.
Usage: ExchangeRate expresses the ratio between UnitCurrency and QuotedCurrency (ExchangeRate = UnitCurrency/QuotedCurrency)."
ContractIdentification,Unique identification to unambiguously identify the foreign exchange contract.
QuotationDate,"Date and time at which an exchange rate is quoted. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
InstructedAmount,"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party."
InstructedAmount.Amount,The amount of the instructed payment.
InstructedAmount.Currency,The currency of the instructed payment.
ErrorCode,
Message,"A description of the error that occurred. e.g., 'A mandatory field isn't supplied' or 'RequestedExecutionDateTime must be in future'
OBL doesn't standardise this field"
Path,"Recommended but optional reference to the JSON Path of the field with error, e.g., Data.Initiation.InstructedAmount.Currency"
Url,"URL to help remediate the problem, or provide more information, or to API Reference, or help etc"
Id,"A unique reference for the error instance, for audit purposes, in case of unknown/unclassified errors."
Code,"Standard code value identifying a type or status, often from an Open Banking approved code list."
Message,Deprecated <br />Brief Error message
Errors,
MandateIdentification,"Unique identification, as assigned by the creditor, to unambiguously identify the mandate."
Classification,
CategoryPurposeCode,
FirstPaymentDateTime,The date on which the first payment for a recurrent credit transfer will be made.
RecurringPaymentDateTime,"The date on which the first recurring payment for a Standing Order schedule will be made. 
Usage: This must be populated only if the first recurring date is different to the first payment date. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
FinalPaymentDateTime,The date on which the final payment for a recurrent credit transfer will be made.
Frequency,
Reason,Reason for the setup of the credit transfer mandate.
MerchantName,Name by which the merchant is known.
MerchantCategoryCode,"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction."
ProductDetails.Segment,"Market segmentation is a marketing term referring to the aggregating of prospective buyers into groups, or segments, that have common needs and respond similarly to a marketing action. Market segmentation enables companies to target different categories of consumers who perceive the full value of certain products and services differently from one another.
Read more: Market Segmentation http://www.investopedia.com/terms/m/marketsegmentation.asp#ixzz4gfEEalTd 
With respect to PCA products, they are segmented in relation to different markets that they wish to focus on. "
ProductDetails.MonthlyMaximumCharge,The maximum relevant charges that could accrue as defined fully in Part 7 of the CMA order
CreditInterest,Details about the interest that may be payable to the PCA account holders
Overdraft,"Details about Overdraft rates, fees & charges"
OtherFeesCharges,Contains details of fees and charges which are not associated with either borrowing or features/benefits
OtherFeesCharges.FeeChargeDetail,Other fees/charges details
OtherFeesCharges.FeeChargeCap,Details about any caps (maximum charges) that apply to a particular fee/charge
PartyId,
PartyNumber,
PartyType,
FullLegalName,
LegalStructure,
BeneficialOwnership,A flag to indicate a party's beneficial ownership of the related account
AccountRole,
EmailAddress,
Phone,
Mobile,
Relationships,
Address,
Account,Relationship to the Account resource.
Account.Related,Absolute URI to the related resource.
Account.Id,Unique identification as assigned by the ASPSP to uniquely identify the related resource.
AddressType,
Department,Identification of a division of a large organisation or building.
SubDepartment,Identification of a sub-division of a large organisation or building.
StreetName,
BuildingNumber,
BuildingName,
Floor,
UnitNumber,
Room,
PostBox,
TownLocationName,
DistrictName,
CareOf,
PostCode,
TownName,
CountrySubDivision,"Identifies a subdivision of a country such as state, region, county."
Country,Nation with its own government.
AddressLine,
Data,The data payload of the response.
Data.Account,
Links,Links relevant to the payload
Meta,Meta Data relevant to the payload
Data.Balance,
Data.TotalValue,Combined sum of all Amounts in the accounts base currency
Data.TotalValue.Amount,
Data.TotalValue.Currency,
Data.Beneficiary,
Data.Permissions,
Data.ExpirationDateTime,"Specified date and time the permissions will expire.
If this is not populated, the permissions will be open ended. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.TransactionFromDateTime,"Specified start date and time for the transaction query period.
If this is not populated, the start date will be open ended, and data will be returned from the earliest available transaction. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.TransactionToDateTime,"Specified end date and time for the transaction query period.
If this is not populated, the end date will be open ended, and data will be returned to the latest available transaction. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Risk,The Risk payload is a risk assessment that the TPP performs on the payment initiation.
Data.ConsentId,Unique identification as assigned to identify the account access consent resource.
Data.CreationDateTime,
Data.Status,Specifies the status of consent resource in code form.
Data.StatusReason,Specifies the status reason.
Data.StatusUpdateDateTime,
Statement,
Transaction,
Data.DirectDebit,
Data.Offer,
Data.Party,
Data,Aligning with the read write specs structure.
Data.Product,
Data.ScheduledPayment,
Data.StandingOrder,
ScheduledPaymentId,
ScheduledPaymentDateTime,
ScheduledType,
DebtorReference,
InstructedAmount,"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.
Usage: This amount has to be transported unchanged through the transaction chain."
StandingOrderId,
NextPaymentDateTime,
LastPaymentDateTime,
NumberOfPayments,
StandingOrderStatusCode,
FirstPaymentAmount,
NextPaymentAmount,
LastPaymentAmount,
FinalPaymentAmount,
MandateRelatedInformation,
RemittanceInformation,"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system."
StatementId,
StatementReference,
StartDateTime,
EndDateTime,
CreationDateTime,"Date and time at which the resource was created. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
StatementDescription,
StatementBenefit,
StatementFee,
StatementInterest,
StatementAmount,
StatementDateTime,
StatementRate,
StatementValue,
TotalValue,Combined sum of all Amounts in the accounts base currency
TotalValue.Amount,
TotalValue.Currency,
StatusReasonCode,"Specifies the status reason in a code form. 
 For a full description see `OBExternalStatusReason1Code` [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
StatusReasonDescription,Description supporting the StatusReasonCode.
Path,Recommended but optional reference to JSON path if relevant to the StatusReasonCode.
