Field Name,Description
Structured,"This typically indicates that related data is provided in a structured, machine-readable format, as opposed to unstructured text. It often refers to how payment or remittance information is organised."
CreditorReferenceInformation.Code,"A code used to uniquely identify the creditor, often used in payment references."
Invoicer,The party that issues the invoice.
Invoicee,The party to whom the invoice is issued and who is expected to pay.
Type,"A general classification of the nature of an item, such as an account type, payment type, or address type."
PointInTime,"Specifies a particular moment in time, often used for data snapshots or event timestamps."
Currency,"The currency in which an amount is expressed, typically in ISO 4217 format (e.g., 'GBP', 'EUR')."
AccountCategory,"A high-level grouping of an account, such as 'personal', 'business', or 'joint'."
AccountTypeCode,"A specific code identifying the type of an account, e.g., 'CACC' for Current Account, 'SVGS' for Savings Account."
Description,"A free-text field providing additional details or an explanation about an item, transaction, or event."
Nickname,"A user-defined, informal name for an account or beneficiary, often for easier recognition."
OpeningDate,The date on which an account or facility was opened.
MaturityDate,The date on which a financial instrument or account reaches its maturity.
SwitchStatus,The current status of a bank account switch process.
StatementFrequencyAndFormat,"Details about how often statements are issued and in what format (e.g., monthly, PDF)."
Servicer,The financial institution or entity that provides services related to an account or product.
SubType,"A more granular classification within a broader 'Type', providing further specificity (e.g., 'CurrentAccount' as a subtype of 'Account')."
ProductDetails,Comprehensive information describing a specific financial product offered by the bank.
BeneficiaryId,A unique identifier for a beneficiary.
BeneficiaryType,"Categorisation of the beneficiary (e.g., 'Individual', 'Organisation')."
SupplementaryData,"Additional, unstructured data that may be provided for informational purposes."
Name,A person's or entity's full legal name or a commonly used name.
SecondaryIdentification,"An additional, often optional, identifier used in conjunction with a primary identification."
Proxy,"An alias or alternative representation of an account identifier, such as an email address or phone number used for payments (e.g., Paym in UK)."
ErrorCode,A code indicating the specific type of error that occurred during a process.
Errors,A collection of error details encountered during processing.
Classification,A categorisation or grouping of an item based on predefined criteria.
CategoryPurposeCode,"A standardised code indicating the purpose of a payment transaction (e.g., 'CASH' for cash withdrawal, 'GDDS' for goods and services)."
Frequency,"How often an event or payment occurs (e.g., 'Daily', 'Monthly', 'Annual')."
PartyId,"A unique identifier for a party (e.g., an individual or organisation)."
PartyNumber,A reference number associated with a party.
PartyType,"The nature of the party involved (e.g., 'Individual', 'Organisation', 'Proprietary')."
FullLegalName,The complete and official legal name of an individual or organisation.
LegalStructure,"The legal organisational form of a business entity (e.g., 'Limited Company', 'Sole Trader')."
AccountRole,"The role of a party in relation to an account (e.g., 'AccountHolder', 'Signatory')."
EmailAddress,The electronic mail address of a party.
Phone,A contact telephone number.
Mobile,A mobile phone number.
Relationships,Details describing the connections or affiliations between different parties.
Address,Full postal address details.
AddressType,"Classification of the address (e.g., 'Residential', 'Business', 'Postal')."
StreetName,The name of the street in an address.
BuildingNumber,The number of the building in an address.
BuildingName,The name of the building in an address.
Floor,The floor level within a building.
UnitNumber,The number or identifier of a specific unit or apartment.
Room,A specific room number within a building.
PostBox,A post office box number.
TownLocationName,"The name of a town, city, or locality."
DistrictName,"The name of a district, county, or administrative subdivision."
CareOf,A field for 'c/o' or 'care of' in an address.
PostCode,The postal code or ZIP code.
TownName,"The name of the town or city (redundant with TownLocationName, but often kept for consistency)."
AddressLine,"A free-text line for address details, used when structured fields are not sufficient."
Data.Account,Contains core account information.
Data.Balance,Contains information about the account balance.
Data.TotalValue.Amount,The numerical value of a total amount.
Data.TotalValue.Currency,The currency of a total amount.
Data.Beneficiary,Contains details of a beneficiary.
Data.Permissions,"Information regarding permissions granted, typically for data access."
Data.CreationDateTime,The date and time when a resource or record was created.
Data.StatusUpdateDateTime,The date and time when the status of a resource or record was last updated.
Statement,Contains details pertaining to a financial statement.
Transaction,Contains information about a financial transaction.
Data.DirectDebit,Contains details related to a direct debit.
Data.Offer,Contains information about a financial offer or product offer.
Data.Party,Contains details of a party involved in a transaction or account.
Data.Product,Contains details of a financial product.
Data.ScheduledPayment,Contains details about a scheduled payment.
Data.StandingOrder,Contains details about a standing order.
ScheduledPaymentId,A unique identifier for a scheduled payment.
