field_name,description
openapi,"The OpenAPI version of the specification."
info,"General information about the API."
title,"The title of the API."
description,"Description to describe the purpose of the code"
termsOfService,"The terms of service for the API."
contact,"Contact information for the API."
name,"Long name associated with the code"
email,"The email address of the contact person/organization."
license,"The license information for the API."
url,"The URL of the license."
version,"The version of the API specification."
paths,"The available paths and operations for the API."
servers,"An array of Server Objects, which provide connectivity information to a target server."
tags,"A list of tags used by the specification with additional metadata."
components,"An object to hold reusable components."
schemas,"An object to hold reusable Schema Objects."
parameters,"An object to hold reusable Parameter Objects."
responses,"An object to hold reusable Response Objects."
security,"A declaration of which security mechanisms can be used across the API."
post,"A definition of a POST operation on a path."
summary,"A short summary of what the operation does."
operationId,"Unique string used to identify the operation."
requestBody,"The request body applicable for this operation."
content,"The content of the request body."
required,"Determines whether this parameter is mandatory."
get,"A definition of a GET operation on a path."
delete,"A definition of a DELETE operation on a path."
put,"A definition of a PUT operation on a path."
patch,"A definition of a PATCH operation on a path."
x-fapi-auth-date,"The time when the PSU last logged in with the TPP. 
All dates in the HTTP headers are represented as RFC 7231 Full Dates. An example is below: 
Sun, 10 Sep 2017 19:43:31 UTC"
x-fapi-customer-ip-address,"The PSU's IP address if the PSU is currently logged in with the TPP."
x-fapi-interaction-id,"An RFC4122 UID used as a correlation id."
Authorization,"An Authorisation Token as per https://tools.ietf.org/html/rfc6750"
x-idempotency-key,"Every request will be processed only once per x-idempotency-key.  The
Idempotency Key will be valid for 24 hours.
"
x-jws-signature,"A detached JWS signature of the body of the payload."
x-customer-user-agent,"Indicates the user-agent that the PSU is using."
Data,"The data payload of the response."
Risk,"The Risk payload is a risk assessment that the TPP performs on the payment initiation."
Links,"Links relevant to the payload"
Self,"The URI of the resource."
First,"Link to the first page of the results."
Prev,"Link to the previous page of the results."
Next,"Link to the next page of the results."
Last,"Link to the last page of the results."
Meta,"Meta Data relevant to the payload"
TotalPages,"The total number of pages."
FirstAvailableDateTime,"The first available date and time."
LastAvailableDateTime,"The last available date and time."
ConsentId,"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource."
